Timestamp,PPT,T_atm,T_air,T_surf,T_soil,detT_soil,T_bio,detT_bio,SWC_01,SWC_01_03,SWC_03_06,RSDN,RSUP,RLDN,RLUP,RNET,H,LE,G,B,J_Rs_net,J_Rl_in,J_Rl_out,J_Rl_net,J_H,J_LE,J_G,J_B,O_Rs,O_Rl,J,O,dS_dt,VPD,ET
2009-01-01,0.0,254.39032141014567,265.323901875,268.1143054223103,274.2098425436941,-0.003562690281370852,264.6032605208333,0.04398718749999967,0.23863541666666685,0.306020833333333,0.32182291666666674,9.920735999999998,0.801342,17.44596,25.24698,1.318373999999999,0.8056079991601142,0.17996494088647016,0.0,0.24816079142099817,0.0015777498269896194,0.06856552922293369,-0.09414488977184206,-0.025579360548908366,-0.0029705319725117636,-0.0006751884220935431,0.0,-0.000926096859361361,0.03209896643956499,-0.003502195870940911,-0.028573427975885413,0.02859677056862408,2.334259273866584e-05,1.9628796998471785,0.07345507791284496
2009-01-02,0.0,256.9062579588736,268.7877664375,270.2740822856748,274.34255247830055,0.0028193602289575035,267.6427515937499,0.04497442708333329,0.23809374999999988,0.30493750000000014,0.32081249999999956,9.897966,0.7395480000000001,18.14202,26.07372,1.226718,2.005622279400282,0.213657275205775,0.0,0.25373046227849966,0.001584501384083045,0.07061149312093946,-0.09644701015611885,-0.025835517035179376,-0.0073859869345309515,-0.0007919635655159261,0.0,-0.0009443544875762028,0.03190300214911624,-0.003485797812413934,-0.0333733206387194,0.028417204336702303,-0.004956116302017113,2.5959144042908937,0.08720705110439794
2009-01-03,0.0,260.309416793076,270.9520238520833,271.90682454805227,274.4668249195241,0.0022538266147906216,269.78726006562505,0.06063796874999975,0.23688541666666688,0.3038541666666667,0.31956250000000036,9.501084,0.684666,19.13688,26.7174,1.2358980000000002,1.676443837562445,0.06146582340129196,0.0,0.34209885128849865,0.0015253318339100346,0.07348212853425737,-0.09823011842210334,-0.024747989887845972,-0.006118014201664636,-0.0002258836731751381,0.0,-0.0012609997419718373,0.030493389431676655,-0.0031079054794892367,-0.030827555670747547,0.027385483952187428,-0.0034420717185601212,3.3103232825562965,0.025088091184200797
2009-01-04,0.0,264.7049119816949,272.41503324999996,273.2977472976575,274.56059722810807,8.691825997281244e-05,271.4219540447917,-0.004440364583333671,0.23577083333333348,0.3024791666666668,0.31831249999999994,9.38592,0.6587459999999998,20.47572,27.27342,1.9294739999999992,1.917894314046393,0.09812172637084136,0.0,-0.025051030807501724,0.00150989169550173,0.07729244784744613,-0.09977222651686293,-0.022479778669416837,-0.00696756657010341,-0.00035777613463324257,0.0,0.00010292944607144561,0.03003441219821516,-0.002350154764445176,-0.02819230023258031,0.027684257433769986,-0.0005080427988103311,3.8629388026989147,0.04004968423299647
2009-01-05,0.0,262.8296148766534,270.4457616875,271.8434909636138,274.45544418986907,-0.0022368633305309324,269.62159401041663,-0.05908640624999961,0.23483333333333337,0.3009895833333333,0.31645833333333345,7.159536,0.5067359999999999,19.93014,26.69274,-0.1097999999999997,1.387522655536912,-0.04944881882279491,0.0,-0.3333454619534976,0.0011510034602076125,0.07571483832432478,-0.09817657632298014,-0.02246173799865535,-0.005101200705765469,0.00018370604648576452,0.0,0.0012459422286421658,0.02307860905532466,-0.0024324640733230296,-0.024982286969085273,0.02064614498200163,-0.004336141987083643,2.623606196960971,-0.020183191356242816
2009-01-06,0.0,261.69678378507393,270.0060823375,271.56659569047036,274.4164643888087,0.0009540559277747875,269.2974867807292,0.03132411458333332,0.23342708333333348,0.29926041666666664,0.3144791666666666,8.098182,0.584478,19.584,26.58888,0.5088240000000002,1.1445983653953433,0.11093036263601753,0.0,0.1767200293394997,0.0012999487889273358,0.07473161533892968,-0.09788072786599412,-0.02314911252706444,-0.004200866785971828,-0.00040822153444115914,0.0,-0.0006504187976254768,0.026061537892480502,-0.002646735351249171,-0.027108670856175562,0.02341480254123133,-0.0036938683149442403,2.779863587824007,0.0452776990351092
2009-01-07,0.0,259.5509963689936,271.8297964458333,272.4295392515356,274.522999230159,0.001493462997575833,270.4804165322916,0.008585208333334057,0.23147916666666668,0.2974687499999999,0.31277083333333305,9.028818000000001,0.6677640000000001,18.89982,26.91846,0.3424140000000004,1.2275310173393914,0.10588420007467855,0.0,0.04843483331400415,0.0014465491349480968,0.07281307526721492,-0.09878155643805693,-0.025968481170842012,-0.004456822655743678,-0.0003887467662466833,0.0,-0.0001713948510700841,0.0288612262350898,-0.003439311374756384,-0.029538896308954357,0.02542191486033342,-0.004116981448620951,3.793644158946242,0.04321804084680757
2009-01-08,0.0,260.61375037588385,271.41960374999996,272.2851743889279,274.5068935372594,-0.001502272884734997,270.2394275588542,-0.03092526041666706,0.23041666666666658,0.29587500000000005,0.3113333333333332,8.295462,0.5759640000000001,19.2177,26.86284,0.07435799999999937,0.639584723864263,0.111859185620472,0.0,-0.17446982942250228,0.0013355532871972319,0.07372343966455883,-0.0986336566040871,-0.02491021693952827,-0.002304112530027208,-0.0004121791470995943,0.0,0.0006616724378547214,0.026680768153237656,-0.0031530664048210976,-0.02562928289160312,0.02352770174841656,-0.002101581143186555,3.696314171986533,0.0456568104573355
2009-01-09,0.0,257.78650576406943,268.77950416666664,270.666486372431,274.3682722047292,-0.005050278875013178,268.0913983333333,-0.07399953125000043,0.20376041666666678,0.2696510416666667,0.2891927083333335,7.313328,0.53442,18.39456,26.2206,-1.0471319999999997,0.025222397910103302,0.14166234421513013,0.0,-0.4174802546715024,0.0011728214532871972,0.07134488884437953,-0.09686141668007071,-0.025516527835691173,-4.192158667345881e-05,-0.0005249997876191493,0.0,0.0015773963252375038,0.023641862617204596,-0.0033857855097740456,-0.023333231431459076,0.020256077107430548,-0.0030771543240285327,2.589863736573596,0.0578213649857674
2009-01-10,0.0,251.90459172909826,263.86942354166666,267.1989102444964,274.0778173184165,-0.0038340544590459388,263.3868885416667,-0.06625682291666617,0.15415625,0.2231458333333333,0.25331250000000016,10.435824000000002,0.8828640000000001,16.77438,24.8958,1.43154,1.8570630291089194,0.06641358050050124,0.0,-0.3737985205814971,0.00165276124567474,0.06657584935705903,-0.09316061055232824,-0.026584761195269205,-0.006957211667798288,-0.0002479825567161563,0.0,0.001434163089122329,0.03377769720290606,-0.0037922191464351295,-0.03070303108498659,0.029985478056470935,-0.0007175530285156453,1.259581436701524,0.027107583877755605
